HAPPINESS_RANK,HAPPINESS_SCORE,ECONOMY,FAMILY,FREEDOM,TRUST,GENEROSITY,DYSTOPIA
145.0,3.632,0.332,0.537,0.085,0.036,0.191,
116.0,4.513999939,0.636406779,1.003187299,0.461603492,0.07821355,0.249580145,1.826705456
142.0,3.856,0.1327,0.6053,0.38041,0.17176,0.2097,2.09469
149.0,3.495,0.076,0.858,0.419,0.03,0.206,
112.0,4.668,0.0,0.698,0.559,0.27,0.243,
135.0,4.027999878,0.161925331,0.993025005,0.363658696,0.138572946,0.228673846,1.873983383
142.0,3.795,0.73,1.125,0.0,0.061,0.079,
152.0,3.587,0.25812,0.85188,0.39493,0.12832,0.21747,1.46494
136.0,4.028,0.34097,0.29561,0.12072,0.14476,0.47958,2.37116
113.0,4.642,0.92049,1.18468,0.33207,0.08884,0.11973,1.71956
145.0,3.602999926,0.368610263,0.640449822,0.030369857,0.09987215,0.489203781,1.697167635
127.0,4.236,0.77109,0.47799,0.37938,0.09753,0.12077,2.10681
158.0,2.839,0.20868,0.13995,0.36453,0.10731,0.16681,1.56726
123.0,4.291999817,0.648457289,1.27203083,0.096098043,0.136957005,0.201870024,1.651637316
130.0,4.201,0.61391,0.84142,0.1268,0.17955,0.22686,1.9263
148.0,3.582,0.315,0.714,0.025,0.104,0.392,
124.0,4.290999889,0.808964252,0.832044363,0.435025871,0.079618134,0.120852128,1.724135637
130.0,4.138999939,0.659516692,1.21400857,0.014995855,0.08984752,0.182317451,1.68706584
126.0,4.356,0.557,1.245,0.129,0.093,0.134,
132.0,4.156,0.08709,0.147,0.4143,0.07564,0.30968,2.82859
140.5,3.615,0.43400000000000005,0.8109999999999999,0.2565,0.0865,0.21150000000000002,
131.0,4.119999886,0.667224824,0.873664737,0.423026294,0.02533637,0.256923944,1.577867508
124.0,4.276,0.63107,0.49353,0.40973,0.0326,0.21203,2.2002
144.0,3.845,0.0694,0.77265,0.47692,0.15639,0.19387,1.87877
133.0,4.139,0.63069,0.81928,0.0,0.10039,0.18077,2.10995
85.0,5.129,0.47038,0.91612,0.48827,0.12468,0.19591,2.6343
138.0,3.956,0.27509,0.60323,0.15412,0.18437,0.1827,2.25632
122.0,4.356,0.52267,0.7624,0.40576,0.06686,0.41328,1.88326
153.0,3.575,0.31982,0.30285,0.23414,0.09719,0.3651,1.9521
147.0,3.587,0.186,0.541,0.531,0.08,0.21,
128.0,4.39,0.385,1.105,0.327,0.052,0.153,
112.0,4.552999973,0.560479462,1.067950726,0.452763766,0.064641319,0.444860309,1.651902199
146.0,3.592999935,0.591683447,0.935382247,0.249463722,0.056767423,0.104125209,1.345600605
147.0,3.724,0.57939,0.47493,0.2287,0.05892,0.09821,1.97295
139.0,3.989,0.67866,0.6629,0.41466,0.11686,0.12388,1.68135
137.0,4.139,0.605,1.24,0.016,0.082,0.134,
136.0,3.970000029,0.233442038,0.512568831,0.466914654,0.072711654,0.28717047,2.081786156
152.0,3.515,0.32846,0.61586,0.5432,0.50521,0.23552,0.96819
155.0,3.34,0.28665,0.35386,0.4845,0.0801,0.1826,1.63328
151.0,3.470999956,0.368745893,0.945707023,0.581843853,0.455220014,0.252756029,0.540061235
105.0,4.724,0.94,1.41,0.516,0.056,0.103,
96.0,5.044,0.549,0.91,0.381,0.037,0.187,
97.0,5.057,0.25558,0.75862,0.3913,0.36794,0.51479,2.43801
115.0,4.61,0.271,1.03276,0.25861,0.08079,0.18987,2.44191
108.0,4.657,0.592,0.896,0.499,0.029,0.212,
141.0,3.931,0.21102,1.13299,0.45727,0.07267,0.29066,1.42766
111.0,4.573999882,0.964434326,1.098470807,0.520303547,0.093146972,0.077133745,1.481890202
142.0,3.766000032,1.122094154,1.221554995,0.505196333,0.098583199,0.099348448,0.377913713
116.0,4.571,0.0712,0.78968,0.28531,0.06232,0.24362,2.77729
133.0,3.957,0.562,0.942,0.379,0.07050000000000001,0.087,
115.0,4.508,0.29283,0.37932,0.36703,0.1717,0.29522,2.65614
113.0,4.574,0.93287,0.70362,0.48614,0.10398,0.07795,1.92198
137.0,3.974,1.09426,0.89186,0.44089,0.10769,0.12425,0.96741
134.0,4.121,1.15851,0.72368,0.28098,0.09314,0.06244,1.45332
119.0,4.460000038,0.339233845,0.864669204,0.408842742,0.165455714,0.31265074,2.015743732
118.0,4.465000153,1.198210239,1.155620217,0.312328577,0.076046787,0.043785378,1.322916269
138.0,4.042,0.282775,0.950615,0.2933,0.051995,0.26336,1.37769
124.0,4.436,0.45407,0.86908,0.24232,0.17461,0.219,2.11773
154.0,3.203,0.35,0.517,0.0,0.025,0.158,
126.0,4.369,0.44025,0.59207,0.46074,0.28105,0.18093,2.05125
140.0,3.956,0.23906,0.79273,0.22917,0.199,0.17441,1.95812
153.0,3.348999977,0.511135876,1.041989803,0.390017778,0.066035107,0.354256362,0.621130466
119.0,4.441,0.874,1.281,0.519,0.064,0.051,
114.0,4.628,0.138,0.774,0.318,0.102,0.188,
118.0,4.55,0.52107,1.01404,0.10081,0.1466,0.19062,2.20857
148.0,3.695,0.27954,0.46115,0.13684,0.07506,0.2204,2.15075
118.0,4.534,0.38,0.829,0.332,0.086,0.207,
144.0,3.644000053,0.305808693,0.913020372,0.189196765,0.067231975,0.20873253,1.584612608
130.0,4.181,0.1885,0.7515000000000001,0.2375,0.1465,0.1765,
153.0,3.303,0.455,0.991,0.481,0.097,0.27,
